location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,year,month,class
Other,Tennessee,6976.08,18.0,existing paid,co applicant,2100.0,4.69,unknown,4,male single,co applicant,2,real estate,37,stores,own,1,skilled,1,none,YES,1994,6,BAD
Other,Tennessee,5588.7,10.0,existing paid,none,1225.0,0.0,1<=X<4,2,male single,none,-1,car,37,none,own,1,skilled,1,yes,YES,1994,6,GOOD
Other,Tennessee,47.76,9.0,existing paid,none,458.0,0.0,1<=X<4,4,male single,none,3,real estate,24,none,own,-1,skilled,1,none,NO,1994,6,GOOD
Other,Tennessee,0.0,30.0,existing paid,none,2333.0,0.0,unknown,4,male single,none,2,car,30,bank,own,-1,high qualif/self emp/mgmt,1,none,NO,1994,6,GOOD
Other,Tennessee,150.32,18.0,existing paid,none,1158.0,0.0,1<=X<4,3,male div/sep,none,1,car,26,none,own,-1,skilled,1,yes,NO,1994,6,BAD
Other,Tennessee,158.94,18.0,delayed previously,none,6204.0,24.41,1<=X<4,2,male single,none,4,real estate,44,none,own,1,unskilled resident,2,unknown,YES,1994,6,GOOD
Other,Tennessee,-913.07,30.0,unknown,none,6187.0,224.1,4<=X<7,1,male mar/wid,none,-1,car,24,none,rent,2,skilled,1,none,YES,1994,6,BAD
Other,Tennessee,-8599.14,48.0,critical/other existing credit,none,6143.0,14.18,>=7,4,female div/dep/mar,none,4,no known property,58,stores,for free,2,unskilled resident,1,none,YES,1994,6,BAD
Other,Tennessee,0.0,11.0,unknown,none,1393.0,0.0,<1,4,female div/dep/mar,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,none,NO,1994,6,GOOD
Shelby,Tennessee,0.0,36.0,unknown,none,2315.0,0.0,>=7,4,male single,none,4,car,39,none,own,1,skilled,1,none,YES,1994,6,GOOD
Shelby,Tennessee,-1631.58,6.0,existing paid,none,2315.0,0.0,unemployed,1,female div/dep/mar,none,2,no known property,23,none,rent,1,unemp/unskilled non res,1,yes,YES,1994,6,BAD
Other,Texas,0.0,11.0,critical/other existing credit,none,7228.0,0.0,1<=X<4,1,male single,none,4,life insurance,39,none,unknown,2,unskilled resident,1,none,NO,1994,6,GOOD
Other,Texas,0.0,12.0,unknown,co applicant,2073.0,0.0,unknown,4,female div/dep/mar,co applicant,2,real estate,28,none,own,1,skilled,1,none,NO,1994,6,GOOD
Bexar,Texas,166.03,24.0,delayed previously,none,2333.0,0.0,<1,4,male single,none,2,no known property,29,bank,own,1,unskilled resident,1,none,YES,1994,6,GOOD
Bexar,Texas,180.59,27.0,unknown,none,5965.0,42.7,>=7,1,male single,none,2,car,30,none,own,-1,high qualif/self emp/mgmt,1,yes,NO,1994,6,BAD
Other,Texas,0.0,12.0,existing paid,none,1262.0,0.0,1<=X<4,3,male single,none,2,car,25,none,own,1,skilled,1,none,NO,1994,6,GOOD
Other,Texas,0.0,18.0,existing paid,none,3378.0,0.0,1<=X<4,2,male single,none,1,no known property,31,none,own,1,skilled,1,yes,NO,1994,6,GOOD
Other,Texas,127.36,36.0,delayed previously,none,2225.0,41.6,>=7,4,male single,none,4,no known property,57,bank,for free,2,skilled,1,unknown,YES,1994,6,GOOD
Dallas,Texas,0.0,6.0,all paid,guarantor,783.0,0.0,unknown,1,male single,guarantor,2,real estate,26,unknown,own,1,unskilled resident,2,none,YES,1994,7,GOOD
Dallas,Texas,114.16,12.0,existing paid,none,6468.0,0.0,unemployed,2,unknown,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,yes,NO,1994,7,GOOD
Other,Texas,0.0,36.0,critical/other existing credit,unknown,9566.0,0.0,1<=X<4,2,female div/dep/mar,unknown,2,car,31,unknown,own,2,unknown,1,none,NO,1994,7,BAD
Dallas,Texas,3235.45,18.0,unknown,none,1961.0,65.36,unknown,3,female div/dep/mar,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,none,YES,1994,7,GOOD
Other,Texas,-9972.01,36.0,critical/other existing credit,co applicant,6229.0,35.8,<1,-1,female div/dep/mar,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,unknown,YES,1994,7,GOOD
Other,Texas,75.44,9.0,existing paid,unknown,1391.0,65.13,1<=X<4,2,male mar/wid,unknown,1,real estate,33,bank,own,1,skilled,1,yes,YES,1994,7,GOOD
Other,Texas,158.6,15.0,critical/other existing credit,guarantor,1537.0,0.0,>=7,4,male single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,YES,1994,7,BAD
Other,Texas,163.79,36.0,no credits/all paid,none,1953.0,78.33,>=7,4,male single,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,yes,NO,1994,7,GOOD
Other,Texas,139.83,48.0,no credits/all paid,none,14421.0,25.59,1<=X<4,2,male single,none,2,car,25,none,own,1,skilled,1,yes,NO,1994,7,GOOD
Other,Texas,0.0,18.0,existing paid,none,3181.0,0.0,<1,-1,female div/dep/mar,none,-1,life insurance,26,none,own,1,skilled,1,yes,NO,1994,7,GOOD
Harris,Texas,0.0,27.0,existing paid,none,5190.0,0.0,>=7,4,male single,none,4,life insurance,48,none,own,4,skilled,2,yes,YES,1994,7,BAD
Other,Texas,0.0,12.0,existing paid,unknown,2171.0,0.0,unknown,2,female div/dep/mar,unknown,2,car,29,bank,own,1,skilled,1,none,NO,1994,7,BAD
Other,Texas,59.47,12.0,existing paid,unknown,1007.0,0.0,1<=X<4,4,male mar/wid,unknown,1,real estate,33,none,own,1,skilled,1,none,YES,1994,7,BAD
Other,Texas,0.0,36.0,existing paid,unknown,1819.0,0.0,1<=X<4,4,male single,none,4,no known property,33,stores,for free,-1,unknown,1,yes,YES,1994,7,GOOD
Other,Texas,0.0,36.0,existing paid,none,2394.0,0.0,1<=X<4,4,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,YES,1994,7,BAD
Other,Texas,0.0,18.0,existing paid,none,8133.0,0.0,unknown,-1,female div/dep/mar,none,2,life insurance,30,unknown,own,1,skilled,1,unknown,NO,1994,7,BAD
Other,Texas,0.0,7.0,critical/other existing credit,none,730.0,0.0,>=7,4,male single,none,2,life insurance,33,none,rent,2,unskilled resident,1,yes,NO,1994,7,GOOD
Other,Texas,0.0,8.0,critical/other existing credit,none,1164.0,0.0,>=7,3,male single,none,-1,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,YES,1994,7,GOOD
Jefferson,Texas,0.0,42.0,unknown,none,5954.0,0.0,4<=X<7,2,female div/dep/mar,none,1,real estate,41,bank,own,2,unskilled resident,1,none,YES,1994,7,BAD
Other,Texas,-220.84,36.0,existing paid,none,1977.0,0.0,>=7,4,male single,none,4,no known property,40,none,unknown,-1,high qualif/self emp/mgmt,1,yes,YES,1994,7,BAD
Other,Texas,-6131.59,12.0,critical/other existing credit,none,1526.0,53.54,>=7,4,male single,none,4,no known property,66,none,for free,2,high qualif/self emp/mgmt,1,none,NO,1994,7,GOOD
Other,Texas,0.0,42.0,existing paid,unknown,2315.0,0.0,<1,-1,male single,none,-1,car,34,none,unknown,1,skilled,1,none,YES,1994,7,BAD
Other,Texas,160.21,11.0,delayed previously,none,4771.0,0.0,4<=X<7,2,male single,none,4,life insurance,51,none,own,1,skilled,1,none,YES,1994,7,BAD
Other,Texas,0.0,54.0,no credits/all paid,unknown,9436.0,0.0,1<=X<4,2,male single,none,2,life insurance,39,none,own,1,unskilled resident,1,none,YES,1994,7,GOOD
Other,Texas,161.2,30.0,existing paid,unknown,3832.0,8.69,<1,-1,male mar/wid,unknown,1,life insurance,22,none,own,1,unknown,1,unknown,YES,1994,7,GOOD
Other,Texas,0.0,24.0,existing paid,none,2315.0,0.0,<1,1,female div/dep/mar,none,-1,car,44,unknown,own,2,skilled,1,yes,NO,1994,7,GOOD
Other,Texas,0.0,15.0,existing paid,none,1213.0,0.0,unknown,4,male single,none,3,life insurance,47,stores,unknown,1,skilled,1,yes,YES,1994,7,GOOD
Other,Texas,0.0,18.0,existing paid,none,2315.0,0.0,1<=X<4,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,NO,1994,7,BAD
Other,Texas,-5878.49,24.0,existing paid,guarantor,1755.0,98.16,>=7,-1,female div/dep/mar,guarantor,4,real estate,58,none,own,1,unknown,1,unknown,YES,1994,7,GOOD
Other,Texas,-1789.61,10.0,existing paid,unknown,2315.0,32.77,>=7,3,male single,unknown,4,real estate,52,none,own,1,unskilled resident,1,none,NO,1994,7,GOOD
Other,Texas,0.0,12.0,critical/other existing credit,guarantor,1412.0,0.0,1<=X<4,-1,female div/dep/mar,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,unknown,YES,1994,7,GOOD
Other,Texas,85.74,18.0,critical/other existing credit,unknown,1295.0,0.0,unknown,4,female div/dep/mar,none,1,no known property,27,none,own,2,skilled,1,none,YES,1994,8,GOOD
Other,Texas,138.23,36.0,existing paid,none,12612.0,438.24,unknown,-1,male single,none,4,no known property,47,none,for free,1,skilled,2,yes,NO,1994,8,GOOD
Other,Texas,0.0,18.0,existing paid,none,2249.0,0.0,4<=X<7,4,male single,none,3,no known property,30,none,own,1,high qualif/self emp/mgmt,2,yes,NO,1994,8,GOOD
Dallas,Texas,-9244.18,12.0,no credits/all paid,none,1108.0,5.74,4<=X<7,4,male single,none,3,real estate,28,none,own,2,skilled,1,none,NO,1994,8,GOOD
Harris,Texas,0.0,12.0,critical/other existing credit,none,618.0,0.0,>=7,4,male single,none,4,no known property,56,none,own,1,skilled,1,none,NO,1994,8,BAD
Bexar,Texas,-677.41,12.0,unknown,none,1409.0,1.66,>=7,4,male single,none,3,real estate,33,none,own,1,skilled,1,none,NO,1994,8,GOOD
Other,Utah,0.0,12.0,critical/other existing credit,none,797.0,0.0,>=7,4,female div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,YES,1994,8,GOOD
Other,Utah,0.0,24.0,critical/other existing credit,unknown,3617.0,0.0,>=7,4,male single,unknown,4,no known property,20,none,rent,2,skilled,1,none,YES,1994,8,BAD
Other,Virginia,45.54,12.0,existing paid,none,1318.0,5987.51,>=7,4,male single,none,4,real estate,54,none,own,1,skilled,1,yes,NO,1994,8,BAD
Other,Virginia,163.33,54.0,no credits/all paid,none,2315.0,89.6,<1,3,male single,none,4,no known property,58,none,unknown,1,skilled,1,yes,YES,1994,8,GOOD
Other,Virginia,0.0,12.0,critical/other existing credit,none,2012.0,0.0,4<=X<7,4,female div/dep/mar,none,2,car,61,none,own,1,skilled,1,none,NO,1994,8,GOOD
Other,Virginia,4.36,18.0,existing paid,none,2622.0,167.17,1<=X<4,4,male single,none,4,car,34,none,own,1,skilled,1,none,YES,1994,8,GOOD
Essex,Virginia,0.83,36.0,critical/other existing credit,none,2315.0,36.75,>=7,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,NO,1994,8,GOOD
Other,Virginia,62.41,20.0,delayed previously,none,7057.0,0.0,4<=X<7,-1,male single,none,4,life insurance,33,bank,rent,2,high qualif/self emp/mgmt,2,yes,YES,1994,8,GOOD
Other,Virginia,0.0,24.0,existing paid,none,1469.0,0.0,>=7,4,male mar/wid,none,-1,real estate,41,none,rent,1,unskilled resident,1,none,YES,1994,8,BAD
Other,Virginia,194.24,36.0,existing paid,none,2323.0,0.0,4<=X<7,4,male single,none,4,car,24,none,rent,1,skilled,1,none,YES,1994,8,BAD
Other,Virginia,0.0,6.0,unknown,none,932.0,0.0,1<=X<4,3,female div/dep/mar,none,-1,no known property,24,none,unknown,1,skilled,1,none,YES,1994,8,GOOD
Other,Virginia,72.61,9.0,critical/other existing credit,unknown,1919.0,0.0,4<=X<7,4,male single,unknown,3,car,35,none,unknown,1,unknown,1,yes,YES,1994,8,GOOD
Other,Virginia,0.0,12.0,existing paid,none,2445.0,0.0,<1,2,male mar/wid,none,4,car,26,none,rent,1,skilled,1,yes,NO,1994,8,GOOD
Other,Virginia,150.24,18.0,critical/other existing credit,co applicant,11938.0,20.15,1<=X<4,2,male single,co applicant,3,car,39,unknown,own,2,high qualif/self emp/mgmt,2,yes,YES,1994,8,BAD
Other,Virginia,0.0,18.0,all paid,none,6458.0,0.0,>=7,2,male single,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,1,yes,NO,1994,8,GOOD
Other,Virginia,-757.72,18.0,existing paid,none,7721.0,0.0,<1,1,female div/dep/mar,none,2,life insurance,30,none,own,1,skilled,1,yes,NO,1994,8,GOOD
Other,Virginia,55.89,18.0,existing paid,unknown,1410.0,549.75,>=7,1,male mar/wid,unknown,2,real estate,35,none,own,1,skilled,1,yes,YES,1994,8,GOOD
Other,Virginia,80.35,6.0,delayed previously,unknown,1449.0,265.76,>=7,1,unknown,none,2,car,31,bank,own,2,skilled,1,none,NO,1994,8,GOOD
Norfolk,Virginia,0.0,18.0,existing paid,none,392.0,0.0,<1,-1,female div/dep/mar,none,-1,life insurance,23,none,unknown,1,skilled,1,yes,YES,1994,8,GOOD
Norfolk,Virginia,80.71,18.0,existing paid,none,6260.0,68.22,4<=X<7,-1,male single,none,3,no known property,28,none,rent,1,unskilled resident,1,none,NO,1994,8,BAD
Other,Virginia,0.0,36.0,critical/other existing credit,none,7855.0,0.0,1<=X<4,4,female div/dep/mar,none,2,real estate,25,stores,own,-1,skilled,1,yes,YES,1994,8,GOOD
Other,Virginia,0.0,12.0,existing paid,none,2315.0,0.0,>=7,3,male mar/wid,none,1,real estate,35,none,own,1,skilled,1,none,NO,1994,8,BAD
Other,Virginia,0.0,48.0,unknown,none,2315.0,0.0,>=7,4,male single,none,1,real estate,47,none,own,1,skilled,1,yes,NO,1994,8,GOOD
Orleans,Vermont,-7890.14,18.0,existing paid,none,7174.0,0.0,4<=X<7,4,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,NO,1994,9,GOOD
Orleans,Vermont,-308.12,10.0,critical/other existing credit,co applicant,2132.0,0.0,unknown,2,female div/dep/mar,co applicant,3,real estate,33,none,rent,2,skilled,1,unknown,NO,1994,9,GOOD
Other,Washington,-6207.62,33.0,critical/other existing credit,none,4281.0,777.08,unknown,1,female div/dep/mar,none,4,car,23,none,own,2,skilled,1,unknown,NO,1994,9,GOOD
Other,Washington,180.83,12.0,unknown,none,2366.0,804.96,4<=X<7,3,male div/sep,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,YES,1994,9,GOOD
Clark,Washington,-4317.01,21.0,existing paid,none,1835.0,6.23,1<=X<4,3,female div/dep/mar,none,2,real estate,25,none,own,2,skilled,1,yes,YES,1994,9,GOOD
Other,Washington,0.0,24.0,critical/other existing credit,none,2315.0,0.0,unknown,4,unknown,none,-1,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,NO,1994,9,GOOD
Other,Washington,0.0,18.0,unknown,none,1768.0,0.0,1<=X<4,-1,male single,none,2,real estate,24,none,rent,-1,unskilled resident,1,none,YES,1994,9,BAD
Other,Washington,4115.41,10.0,critical/other existing credit,unknown,781.0,68.49,unknown,-1,male single,unknown,4,no known property,63,none,for free,2,skilled,1,yes,YES,1994,9,GOOD
Other,Washington,69.75,18.0,existing paid,none,1924.0,0.0,unknown,4,female div/dep/mar,none,3,real estate,33,unknown,rent,1,unknown,1,none,NO,1994,9,GOOD
Other,Washington,-8633.29,12.0,critical/other existing credit,unknown,2121.0,28.28,1<=X<4,4,male single,unknown,2,life insurance,30,none,own,2,skilled,1,none,YES,1994,9,BAD
Other,Washington,-7111.18,12.0,unknown,none,2315.0,1.11,1<=X<4,4,male mar/wid,none,2,real estate,40,none,own,1,unskilled resident,1,none,YES,1994,9,GOOD
Other,Washington,150.56,12.0,existing paid,none,2315.0,33.47,1<=X<4,-1,male single,none,2,car,30,none,own,1,skilled,1,none,NO,1994,9,BAD
Other,Washington,163.65,12.0,critical/other existing credit,unknown,1860.0,21.86,unemployed,4,male single,unknown,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,YES,1994,9,BAD
Other,Washington,-9688.11,12.0,critical/other existing credit,co applicant,2315.0,0.0,1<=X<4,3,female div/dep/mar,co applicant,2,real estate,29,none,own,2,unknown,1,none,YES,1994,9,GOOD
Other,Washington,161.19,48.0,existing paid,none,8487.0,0.0,4<=X<7,1,female div/dep/mar,none,2,car,24,none,own,1,skilled,1,none,NO,1994,9,BAD
Other,Washington,-4083.0,36.0,delayed previously,none,6887.0,11.36,1<=X<4,4,male single,none,3,life insurance,29,stores,own,1,skilled,1,yes,YES,1994,9,BAD
Other,Washington,0.0,15.0,existing paid,none,2315.0,0.0,<1,2,male single,none,3,life insurance,27,bank,own,2,unskilled resident,1,none,NO,1994,9,GOOD
Other,Washington,0.0,18.0,existing paid,none,1984.0,0.0,1<=X<4,4,male single,none,4,no known property,47,bank,for free,2,skilled,1,none,YES,1994,9,BAD
Other,Washington,0.0,18.0,existing paid,none,2315.0,0.0,4<=X<7,2,female div/dep/mar,none,-1,real estate,21,none,own,1,skilled,1,unknown,YES,1994,9,BAD
Other,Wisconsin,0.0,12.0,critical/other existing credit,unknown,1240.0,0.0,>=7,4,female div/dep/mar,none,2,no known property,38,none,own,2,skilled,1,yes,YES,1994,9,BAD
Other,Wisconsin,0.0,27.0,delayed previously,none,8613.0,0.0,1<=X<4,2,male single,none,2,car,27,none,own,2,skilled,1,none,NO,1994,9,BAD
Other,Wisconsin,0.0,18.0,unknown,unknown,766.0,0.0,1<=X<4,4,male single,unknown,3,real estate,33,none,own,1,unskilled resident,1,none,NO,1994,9,GOOD
Other,Wisconsin,51.64,15.0,critical/other existing credit,guarantor,2728.0,0.0,4<=X<7,4,male single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,YES,1994,9,GOOD
Other,Wisconsin,0.0,12.0,existing paid,none,1881.0,0.0,unknown,2,female div/dep/mar,none,2,car,44,none,rent,1,unskilled resident,1,yes,NO,1994,9,BAD
Other,Wisconsin,8525.7,6.0,existing paid,none,709.0,7265.64,<1,2,male mar/wid,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,YES,1994,9,GOOD
Other,West Virginia,3.49,36.0,existing paid,none,2315.0,57.17,<1,4,female div/dep/mar,none,1,no known property,33,none,own,1,high qualif/self emp/mgmt,1,yes,NO,1994,9,BAD
Other,West Virginia,-4570.85,18.0,existing paid,unknown,3416.0,15.64,1<=X<4,-1,male single,unknown,2,car,27,none,own,1,high qualif/self emp/mgmt,1,unknown,YES,1994,9,BAD
Other,West Virginia,-6400.81,18.0,existing paid,none,2462.0,74.69,1<=X<4,2,male single,none,2,no known property,33,none,own,1,unknown,1,none,NO,1994,9,GOOD
Other,West Virginia,0.0,21.0,critical/other existing credit,none,2288.0,0.0,<1,4,female div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,yes,NO,1994,9,GOOD
Wayne,West Virginia,46.06,48.0,all paid,unknown,3566.0,240.61,4<=X<7,-1,male single,none,2,car,30,none,unknown,1,skilled,1,none,YES,1994,9,BAD
Other,Wyoming,-9858.79,6.0,critical/other existing credit,unknown,860.0,6.1,>=7,1,female div/dep/mar,unknown,4,no known property,39,none,own,2,unknown,1,yes,YES,1994,10,GOOD
Other,Alaska,0.0,12.0,critical/other existing credit,none,682.0,0.0,4<=X<7,4,female div/dep/mar,none,3,car,51,none,own,2,skilled,1,yes,NO,1994,10,GOOD
Other,Arkansas,0.0,36.0,critical/other existing credit,unknown,5371.0,0.0,1<=X<4,3,male single,unknown,2,life insurance,28,none,own,2,skilled,1,unknown,NO,1994,10,GOOD
Maricopa,Arizona,0.0,18.0,unknown,none,1582.0,0.0,>=7,4,unknown,none,4,car,46,none,own,-1,skilled,1,unknown,YES,1994,10,BAD
Maricopa,Arizona,0.0,6.0,existing paid,unknown,1346.0,0.0,>=7,2,male single,unknown,4,no known property,42,bank,unknown,1,skilled,2,yes,NO,1994,10,GOOD
Other,Arizona,0.0,18.0,existing paid,none,1924.0,0.0,1<=X<4,1,male single,none,4,life insurance,38,none,own,1,skilled,1,yes,NO,1994,10,BAD
Alameda,California,0.0,36.0,existing paid,none,5848.0,0.0,1<=X<4,4,male single,none,1,car,24,none,own,1,skilled,1,unknown,NO,1994,10,BAD
Other,California,139.47,24.0,critical/other existing credit,unknown,7758.0,7369.04,>=7,2,female div/dep/mar,unknown,4,no known property,29,none,rent,1,skilled,1,none,YES,1994,10,BAD
Other,California,190.98,24.0,delayed previously,none,6967.0,438.53,4<=X<7,4,male single,none,4,car,36,none,rent,1,high qualif/self emp/mgmt,1,unknown,YES,1994,10,BAD
Other,California,-5781.67,12.0,existing paid,none,1282.0,59.7,1<=X<4,2,female div/dep/mar,none,4,no known property,20,none,rent,1,skilled,1,none,NO,1994,10,GOOD
Other,California,-2884.07,9.0,critical/other existing credit,guarantor,2315.0,100.46,>=7,3,male single,guarantor,4,real estate,48,none,own,2,skilled,2,none,YES,1994,10,BAD
Other,California,-7930.96,12.0,all paid,none,339.0,22.56,unknown,4,male mar/wid,none,1,car,45,bank,own,1,unskilled resident,1,none,NO,1994,10,GOOD
Los Angeles,California,144.52,18.0,existing paid,none,3512.0,345.1,4<=X<7,2,unknown,none,3,car,38,bank,own,2,skilled,1,yes,NO,1994,10,GOOD
