location,state,checking_amt,duration,credit_history,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,year,month,class
Other,South Carolina,5,18.0,existing paid,1913.0,"(-0.001, 7.154]",unknown,3,male mar/wid,unknown,3,real estate,36,bank,own,1,skilled,1,yes,NO,1994,06,GOOD
Other,South Carolina,2,24.0,existing paid,4020.0,"(7.154, 34.309]",unknown,2,male single,none,2,car,27,stores,own,1,skilled,1,none,YES,1994,06,GOOD
Other,South Carolina,5,18.0,existing paid,5866.0,"(98.282, 9298.08]",1<=X<4,2,male single,none,2,car,33,none,own,2,skilled,1,yes,NO,1994,06,BAD
Other,South Dakota,5,12.0,critical/other existing credit,1264.0,"(-0.001, 7.154]",unknown,4,male single,none,4,other,57,none,rent,1,unskilled resident,1,unknown,YES,1994,06,BAD
Other,South Dakota,5,12.0,existing paid,2315.0,"(34.309, 65.862]",<1,4,female div/dep/mar,none,1,life insurance,33,bank,unknown,1,high qualif/self emp/mgmt,1,unknown,YES,1994,06,GOOD
Other,Tennessee,5,45.0,critical/other existing credit,4746.0,"(-0.001, 7.154]",<1,4,male single,none,2,life insurance,25,none,own,2,unknown,1,none,NO,1994,06,GOOD
Other,Tennessee,5,48.0,critical/other existing credit,6110.0,"(-0.001, 7.154]",1<=X<4,1,male single,none,3,no known property,31,bank,for free,1,skilled,1,unknown,YES,1994,06,GOOD
Other,Tennessee,8,18.0,existing paid,2100.0,"(-0.001, 7.154]",unknown,4,male single,co applicant,2,real estate,37,stores,own,1,skilled,1,none,YES,1994,06,BAD
Other,Tennessee,7,10.0,existing paid,1225.0,"(-0.001, 7.154]",1<=X<4,2,male single,none,-1,car,37,none,own,1,skilled,1,yes,YES,1994,06,GOOD
Other,Tennessee,5,9.0,existing paid,458.0,"(-0.001, 7.154]",1<=X<4,4,male single,none,3,real estate,24,none,own,-1,skilled,1,none,NO,1994,06,GOOD
Other,Tennessee,5,30.0,existing paid,2333.0,"(-0.001, 7.154]",unknown,4,male single,none,2,car,30,bank,own,-1,high qualif/self emp/mgmt,1,none,NO,1994,06,GOOD
Other,Tennessee,5,18.0,existing paid,1158.0,"(-0.001, 7.154]",1<=X<4,3,male div/sep,none,1,car,26,none,own,-1,skilled,1,yes,NO,1994,06,BAD
Other,Tennessee,5,18.0,delayed previously,6204.0,"(7.154, 34.309]",1<=X<4,2,male single,none,4,real estate,44,none,own,1,unskilled resident,2,unknown,YES,1994,06,GOOD
Other,Tennessee,4,30.0,unknown,6187.0,"(98.282, 9298.08]",4<=X<7,1,male mar/wid,none,-1,car,24,none,rent,2,skilled,1,none,YES,1994,06,BAD
Other,Tennessee,0,48.0,critical/other existing credit,6143.0,"(7.154, 34.309]",>=7,4,female div/dep/mar,none,4,no known property,58,stores,for free,2,unskilled resident,1,none,YES,1994,06,BAD
Other,Tennessee,5,11.0,unknown,1393.0,"(-0.001, 7.154]",<1,4,female div/dep/mar,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,none,NO,1994,06,GOOD
Shelby,Tennessee,5,36.0,unknown,2315.0,"(-0.001, 7.154]",>=7,4,male single,none,4,car,39,none,own,1,skilled,1,none,YES,1994,06,GOOD
Shelby,Tennessee,4,6.0,existing paid,2315.0,"(-0.001, 7.154]",unemployed,1,female div/dep/mar,none,2,other,23,none,rent,1,unemp/unskilled non res,1,yes,YES,1994,06,BAD
Other,Texas,5,11.0,critical/other existing credit,7228.0,"(-0.001, 7.154]",1<=X<4,1,male single,none,4,life insurance,39,none,unknown,2,unskilled resident,1,none,NO,1994,06,GOOD
Other,Texas,5,12.0,unknown,2073.0,"(-0.001, 7.154]",unknown,4,female div/dep/mar,co applicant,2,real estate,28,none,own,1,skilled,1,none,NO,1994,06,GOOD
Bexar,Texas,5,24.0,delayed previously,2333.0,"(-0.001, 7.154]",<1,4,male single,none,2,other,29,bank,own,1,unskilled resident,1,none,YES,1994,06,GOOD
Bexar,Texas,5,27.0,unknown,5965.0,"(34.309, 65.862]",>=7,1,male single,none,2,car,30,none,own,-1,high qualif/self emp/mgmt,1,yes,NO,1994,06,BAD
Other,Texas,5,12.0,existing paid,1262.0,"(-0.001, 7.154]",1<=X<4,3,male single,none,2,car,25,none,own,1,skilled,1,none,NO,1994,06,GOOD
Other,Texas,5,18.0,existing paid,3378.0,"(-0.001, 7.154]",1<=X<4,2,male single,none,1,other,31,none,own,1,skilled,1,yes,NO,1994,06,GOOD
Other,Texas,5,36.0,delayed previously,2225.0,"(34.309, 65.862]",>=7,4,male single,none,4,no known property,57,bank,for free,2,skilled,1,unknown,YES,1994,06,GOOD
Dallas,Texas,5,6.0,all paid,783.0,"(-0.001, 7.154]",unknown,1,male single,guarantor,2,real estate,26,unknown,own,1,unskilled resident,2,none,YES,1994,07,GOOD
Dallas,Texas,5,12.0,existing paid,6468.0,"(-0.001, 7.154]",unemployed,2,unknown,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,yes,NO,1994,07,GOOD
Other,Texas,5,36.0,critical/other existing credit,9566.0,"(-0.001, 7.154]",1<=X<4,2,female div/dep/mar,unknown,2,car,31,unknown,own,2,unknown,1,none,NO,1994,07,BAD
Dallas,Texas,6,18.0,unknown,1961.0,"(34.309, 65.862]",unknown,3,female div/dep/mar,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,none,YES,1994,07,GOOD
Other,Texas,0,36.0,critical/other existing credit,6229.0,"(34.309, 65.862]",<1,-1,female div/dep/mar,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,unknown,YES,1994,07,GOOD
Other,Texas,5,9.0,existing paid,1391.0,"(34.309, 65.862]",1<=X<4,2,male mar/wid,unknown,1,real estate,33,bank,own,1,skilled,1,yes,YES,1994,07,GOOD
Other,Texas,5,15.0,critical/other existing credit,1537.0,"(-0.001, 7.154]",>=7,4,male single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,YES,1994,07,BAD
Other,Texas,5,36.0,no credits/all paid,1953.0,"(65.862, 98.282]",>=7,4,male single,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,yes,NO,1994,07,GOOD
Other,Texas,5,48.0,no credits/all paid,14421.0,"(7.154, 34.309]",1<=X<4,2,male single,none,2,car,25,none,own,1,skilled,1,yes,NO,1994,07,GOOD
Other,Texas,5,18.0,existing paid,3181.0,"(-0.001, 7.154]",<1,-1,female div/dep/mar,none,-1,life insurance,26,none,own,1,skilled,1,yes,NO,1994,07,GOOD
Harris,Texas,5,27.0,existing paid,5190.0,"(-0.001, 7.154]",>=7,4,male single,none,4,life insurance,48,none,own,4,skilled,2,yes,YES,1994,07,BAD
Other,Texas,5,12.0,existing paid,2171.0,"(-0.001, 7.154]",unknown,2,female div/dep/mar,unknown,2,car,29,bank,own,1,skilled,1,none,NO,1994,07,BAD
Other,Texas,5,12.0,existing paid,1007.0,"(-0.001, 7.154]",1<=X<4,4,male mar/wid,unknown,1,real estate,33,none,own,1,skilled,1,none,YES,1994,07,BAD
Other,Texas,5,36.0,existing paid,1819.0,"(-0.001, 7.154]",1<=X<4,4,male single,none,4,no known property,33,stores,for free,-1,unknown,1,yes,YES,1994,07,GOOD
Other,Texas,5,36.0,existing paid,2394.0,"(-0.001, 7.154]",1<=X<4,4,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,YES,1994,07,BAD
Other,Texas,5,18.0,existing paid,8133.0,"(-0.001, 7.154]",unknown,-1,female div/dep/mar,none,2,life insurance,30,unknown,own,1,skilled,1,unknown,NO,1994,07,BAD
Other,Texas,5,7.0,critical/other existing credit,730.0,"(-0.001, 7.154]",>=7,4,male single,none,2,life insurance,33,none,rent,2,unskilled resident,1,yes,NO,1994,07,GOOD
Other,Texas,5,8.0,critical/other existing credit,1164.0,"(-0.001, 7.154]",>=7,3,male single,none,-1,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,YES,1994,07,GOOD
Jefferson,Texas,5,42.0,unknown,5954.0,"(-0.001, 7.154]",4<=X<7,2,female div/dep/mar,none,1,real estate,41,bank,own,2,unskilled resident,1,none,YES,1994,07,BAD
Other,Texas,4,36.0,existing paid,1977.0,"(-0.001, 7.154]",>=7,4,male single,none,4,no known property,40,none,unknown,-1,high qualif/self emp/mgmt,1,yes,YES,1994,07,BAD
Other,Texas,1,12.0,critical/other existing credit,1526.0,"(34.309, 65.862]",>=7,4,male single,none,4,no known property,66,none,for free,2,high qualif/self emp/mgmt,1,none,NO,1994,07,GOOD
Other,Texas,5,42.0,existing paid,2315.0,"(-0.001, 7.154]",<1,-1,male single,none,-1,car,34,none,unknown,1,skilled,1,none,YES,1994,07,BAD
Other,Texas,5,11.0,delayed previously,4771.0,"(-0.001, 7.154]",4<=X<7,2,male single,none,4,life insurance,51,none,own,1,skilled,1,none,YES,1994,07,BAD
Other,Texas,5,54.0,no credits/all paid,9436.0,"(-0.001, 7.154]",1<=X<4,2,male single,none,2,life insurance,39,none,own,1,unskilled resident,1,none,YES,1994,07,GOOD
Other,Texas,5,30.0,existing paid,3832.0,"(7.154, 34.309]",<1,-1,male mar/wid,unknown,1,life insurance,22,none,own,1,unknown,1,unknown,YES,1994,07,GOOD
Other,Texas,5,24.0,existing paid,2315.0,"(-0.001, 7.154]",<1,1,female div/dep/mar,none,-1,car,44,unknown,own,2,skilled,1,yes,NO,1994,07,GOOD
Other,Texas,5,15.0,existing paid,1213.0,"(-0.001, 7.154]",unknown,4,male single,none,3,life insurance,47,stores,unknown,1,skilled,1,yes,YES,1994,07,GOOD
Other,Texas,5,18.0,existing paid,2315.0,"(-0.001, 7.154]",1<=X<4,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,NO,1994,07,BAD
Other,Texas,2,24.0,existing paid,1755.0,"(65.862, 98.282]",>=7,-1,female div/dep/mar,guarantor,4,real estate,58,none,own,1,unknown,1,unknown,YES,1994,07,GOOD
Other,Texas,4,10.0,existing paid,2315.0,"(7.154, 34.309]",>=7,3,male single,unknown,4,real estate,52,none,own,1,unskilled resident,1,none,NO,1994,07,GOOD
Other,Texas,5,12.0,critical/other existing credit,1412.0,"(-0.001, 7.154]",1<=X<4,-1,female div/dep/mar,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,unknown,YES,1994,07,GOOD
Other,Texas,5,18.0,critical/other existing credit,1295.0,"(-0.001, 7.154]",unknown,4,female div/dep/mar,none,1,other,27,none,own,2,skilled,1,none,YES,1994,08,GOOD
Other,Texas,5,36.0,existing paid,12612.0,"(98.282, 9298.08]",unknown,-1,male single,none,4,no known property,47,none,for free,1,skilled,2,yes,NO,1994,08,GOOD
Other,Texas,5,18.0,existing paid,2249.0,"(-0.001, 7.154]",4<=X<7,4,male single,none,3,other,30,none,own,1,high qualif/self emp/mgmt,2,yes,NO,1994,08,GOOD
Dallas,Texas,0,12.0,no credits/all paid,1108.0,"(-0.001, 7.154]",4<=X<7,4,male single,none,3,real estate,28,none,own,2,skilled,1,none,NO,1994,08,GOOD
Harris,Texas,5,12.0,critical/other existing credit,618.0,"(-0.001, 7.154]",>=7,4,male single,none,4,other,56,none,own,1,skilled,1,none,NO,1994,08,BAD
Bexar,Texas,4,12.0,unknown,1409.0,"(-0.001, 7.154]",>=7,4,male single,none,3,real estate,33,none,own,1,skilled,1,none,NO,1994,08,GOOD
Other,Utah,5,12.0,critical/other existing credit,797.0,"(-0.001, 7.154]",>=7,4,female div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,YES,1994,08,GOOD
Other,Utah,5,24.0,critical/other existing credit,3617.0,"(-0.001, 7.154]",>=7,4,male single,unknown,4,no known property,20,none,rent,2,skilled,1,none,YES,1994,08,BAD
Other,Virginia,5,12.0,existing paid,1318.0,"(98.282, 9298.08]",>=7,4,male single,none,4,real estate,54,none,own,1,skilled,1,yes,NO,1994,08,BAD
Other,Virginia,5,54.0,no credits/all paid,2315.0,"(65.862, 98.282]",<1,3,male single,none,4,no known property,58,none,unknown,1,skilled,1,yes,YES,1994,08,GOOD
Other,Virginia,5,12.0,critical/other existing credit,2012.0,"(-0.001, 7.154]",4<=X<7,4,female div/dep/mar,none,2,car,61,none,own,1,skilled,1,none,NO,1994,08,GOOD
Other,Virginia,5,18.0,existing paid,2622.0,"(98.282, 9298.08]",1<=X<4,4,male single,none,4,car,34,none,own,1,skilled,1,none,YES,1994,08,GOOD
Essex,Virginia,5,36.0,critical/other existing credit,2315.0,"(34.309, 65.862]",>=7,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,NO,1994,08,GOOD
Other,Virginia,5,20.0,delayed previously,7057.0,"(-0.001, 7.154]",4<=X<7,-1,male single,none,4,life insurance,33,bank,rent,2,high qualif/self emp/mgmt,2,yes,YES,1994,08,GOOD
Other,Virginia,5,24.0,existing paid,1469.0,"(-0.001, 7.154]",>=7,4,male mar/wid,none,-1,real estate,41,none,rent,1,unskilled resident,1,none,YES,1994,08,BAD
Other,Virginia,5,36.0,existing paid,2323.0,"(-0.001, 7.154]",4<=X<7,4,male single,none,4,car,24,none,rent,1,skilled,1,none,YES,1994,08,BAD
Other,Virginia,5,6.0,unknown,932.0,"(-0.001, 7.154]",1<=X<4,3,female div/dep/mar,none,-1,other,24,none,unknown,1,skilled,1,none,YES,1994,08,GOOD
Other,Virginia,5,9.0,critical/other existing credit,1919.0,"(-0.001, 7.154]",4<=X<7,4,male single,unknown,3,car,35,none,unknown,1,unknown,1,yes,YES,1994,08,GOOD
Other,Virginia,5,12.0,existing paid,2445.0,"(-0.001, 7.154]",<1,2,male mar/wid,none,4,car,26,none,rent,1,skilled,1,yes,NO,1994,08,GOOD
Other,Virginia,5,18.0,critical/other existing credit,11938.0,"(7.154, 34.309]",1<=X<4,2,male single,co applicant,3,car,39,unknown,own,2,high qualif/self emp/mgmt,2,yes,YES,1994,08,BAD
Other,Virginia,5,18.0,all paid,6458.0,"(-0.001, 7.154]",>=7,2,male single,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,1,yes,NO,1994,08,GOOD
Other,Virginia,4,18.0,existing paid,7721.0,"(-0.001, 7.154]",<1,1,female div/dep/mar,none,2,life insurance,30,none,own,1,skilled,1,yes,NO,1994,08,GOOD
Other,Virginia,5,18.0,existing paid,1410.0,"(98.282, 9298.08]",>=7,1,male mar/wid,unknown,2,real estate,35,none,own,1,skilled,1,yes,YES,1994,08,GOOD
Other,Virginia,5,6.0,delayed previously,1449.0,"(98.282, 9298.08]",>=7,1,unknown,none,2,car,31,bank,own,2,skilled,1,none,NO,1994,08,GOOD
Norfolk,Virginia,5,18.0,existing paid,392.0,"(-0.001, 7.154]",<1,-1,female div/dep/mar,none,-1,life insurance,23,none,unknown,1,skilled,1,yes,YES,1994,08,GOOD
Norfolk,Virginia,5,18.0,existing paid,6260.0,"(65.862, 98.282]",4<=X<7,-1,male single,none,3,other,28,none,rent,1,unskilled resident,1,none,NO,1994,08,BAD
Other,Virginia,5,36.0,critical/other existing credit,7855.0,"(-0.001, 7.154]",1<=X<4,4,female div/dep/mar,none,2,real estate,25,stores,own,-1,skilled,1,yes,YES,1994,08,GOOD
Other,Virginia,5,12.0,existing paid,2315.0,"(-0.001, 7.154]",>=7,3,male mar/wid,none,1,real estate,35,none,own,1,skilled,1,none,NO,1994,08,BAD
Other,Virginia,5,48.0,unknown,2315.0,"(-0.001, 7.154]",>=7,4,male single,none,1,real estate,47,none,own,1,skilled,1,yes,NO,1994,08,GOOD
Orleans,Vermont,1,18.0,existing paid,7174.0,"(-0.001, 7.154]",4<=X<7,4,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,NO,1994,09,GOOD
Orleans,Vermont,4,10.0,critical/other existing credit,2132.0,"(-0.001, 7.154]",unknown,2,female div/dep/mar,co applicant,3,real estate,33,none,rent,2,skilled,1,unknown,NO,1994,09,GOOD
Other,Washington,1,33.0,critical/other existing credit,4281.0,"(98.282, 9298.08]",unknown,1,female div/dep/mar,none,4,car,23,none,own,2,skilled,1,unknown,NO,1994,09,GOOD
Other,Washington,5,12.0,unknown,2366.0,"(98.282, 9298.08]",4<=X<7,3,male div/sep,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,YES,1994,09,GOOD
Clark,Washington,2,21.0,existing paid,1835.0,"(-0.001, 7.154]",1<=X<4,3,female div/dep/mar,none,2,real estate,25,none,own,2,skilled,1,yes,YES,1994,09,GOOD
Other,Washington,5,24.0,critical/other existing credit,2315.0,"(-0.001, 7.154]",unknown,4,unknown,none,-1,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,NO,1994,09,GOOD
Other,Washington,5,18.0,unknown,1768.0,"(-0.001, 7.154]",1<=X<4,-1,male single,none,2,real estate,24,none,rent,-1,unskilled resident,1,none,YES,1994,09,BAD
Other,Washington,7,10.0,critical/other existing credit,781.0,"(65.862, 98.282]",unknown,-1,male single,unknown,4,no known property,63,none,for free,2,skilled,1,yes,YES,1994,09,GOOD
Other,Washington,5,18.0,existing paid,1924.0,"(-0.001, 7.154]",unknown,4,female div/dep/mar,none,3,real estate,33,unknown,rent,1,unknown,1,none,NO,1994,09,GOOD
Other,Washington,0,12.0,critical/other existing credit,2121.0,"(7.154, 34.309]",1<=X<4,4,male single,unknown,2,life insurance,30,none,own,2,skilled,1,none,YES,1994,09,BAD
Other,Washington,1,12.0,unknown,2315.0,"(-0.001, 7.154]",1<=X<4,4,male mar/wid,none,2,real estate,40,none,own,1,unskilled resident,1,none,YES,1994,09,GOOD
Other,Washington,5,12.0,existing paid,2315.0,"(7.154, 34.309]",1<=X<4,-1,male single,none,2,car,30,none,own,1,skilled,1,none,NO,1994,09,BAD
Other,Washington,5,12.0,critical/other existing credit,1860.0,"(7.154, 34.309]",unemployed,4,male single,unknown,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,YES,1994,09,BAD
Other,Washington,0,12.0,critical/other existing credit,2315.0,"(-0.001, 7.154]",1<=X<4,3,female div/dep/mar,co applicant,2,real estate,29,none,own,2,unknown,1,none,YES,1994,09,GOOD
Other,Washington,5,48.0,existing paid,8487.0,"(-0.001, 7.154]",4<=X<7,1,female div/dep/mar,none,2,car,24,none,own,1,skilled,1,none,NO,1994,09,BAD
Other,Washington,2,36.0,delayed previously,6887.0,"(7.154, 34.309]",1<=X<4,4,male single,none,3,life insurance,29,stores,own,1,skilled,1,yes,YES,1994,09,BAD
Other,Washington,5,15.0,existing paid,2315.0,"(-0.001, 7.154]",<1,2,male single,none,3,life insurance,27,bank,own,2,unskilled resident,1,none,NO,1994,09,GOOD
Other,Washington,5,18.0,existing paid,1984.0,"(-0.001, 7.154]",1<=X<4,4,male single,none,4,no known property,47,bank,for free,2,skilled,1,none,YES,1994,09,BAD
Other,Washington,5,18.0,existing paid,2315.0,"(-0.001, 7.154]",4<=X<7,2,female div/dep/mar,none,-1,real estate,21,none,own,1,skilled,1,unknown,YES,1994,09,BAD
Other,Wisconsin,5,12.0,critical/other existing credit,1240.0,"(-0.001, 7.154]",>=7,4,female div/dep/mar,none,2,other,38,none,own,2,skilled,1,yes,YES,1994,09,BAD
Other,Wisconsin,5,27.0,delayed previously,8613.0,"(-0.001, 7.154]",1<=X<4,2,male single,none,2,car,27,none,own,2,skilled,1,none,NO,1994,09,BAD
Other,Wisconsin,5,18.0,unknown,766.0,"(-0.001, 7.154]",1<=X<4,4,male single,unknown,3,real estate,33,none,own,1,unskilled resident,1,none,NO,1994,09,GOOD
Other,Wisconsin,5,15.0,critical/other existing credit,2728.0,"(-0.001, 7.154]",4<=X<7,4,male single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,YES,1994,09,GOOD
Other,Wisconsin,5,12.0,existing paid,1881.0,"(-0.001, 7.154]",unknown,2,female div/dep/mar,none,2,car,44,none,rent,1,unskilled resident,1,yes,NO,1994,09,BAD
Other,Wisconsin,9,6.0,existing paid,709.0,"(98.282, 9298.08]",<1,2,male mar/wid,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,YES,1994,09,GOOD
Other,West Virginia,5,36.0,existing paid,2315.0,"(34.309, 65.862]",<1,4,female div/dep/mar,none,1,no known property,33,none,own,1,high qualif/self emp/mgmt,1,yes,NO,1994,09,BAD
Other,West Virginia,2,18.0,existing paid,3416.0,"(7.154, 34.309]",1<=X<4,-1,male single,unknown,2,car,27,none,own,1,high qualif/self emp/mgmt,1,unknown,YES,1994,09,BAD
Other,West Virginia,1,18.0,existing paid,2462.0,"(65.862, 98.282]",1<=X<4,2,male single,none,2,other,33,none,own,1,unknown,1,none,NO,1994,09,GOOD
Other,West Virginia,5,21.0,critical/other existing credit,2288.0,"(-0.001, 7.154]",<1,4,female div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,yes,NO,1994,09,GOOD
Wayne,West Virginia,5,48.0,all paid,3566.0,"(98.282, 9298.08]",4<=X<7,-1,male single,none,2,car,30,none,unknown,1,skilled,1,none,YES,1994,09,BAD
Other,Wyoming,0,6.0,critical/other existing credit,860.0,"(-0.001, 7.154]",>=7,1,female div/dep/mar,unknown,4,no known property,39,none,own,2,unknown,1,yes,YES,1994,10,GOOD
Other,Alaska,5,12.0,critical/other existing credit,682.0,"(-0.001, 7.154]",4<=X<7,4,female div/dep/mar,none,3,car,51,none,own,2,skilled,1,yes,NO,1994,10,GOOD
Other,Arkansas,5,36.0,critical/other existing credit,5371.0,"(-0.001, 7.154]",1<=X<4,3,male single,unknown,2,life insurance,28,none,own,2,skilled,1,unknown,NO,1994,10,GOOD
Maricopa,Arizona,5,18.0,unknown,1582.0,"(-0.001, 7.154]",>=7,4,unknown,none,4,car,46,none,own,-1,skilled,1,unknown,YES,1994,10,BAD
Maricopa,Arizona,5,6.0,existing paid,1346.0,"(-0.001, 7.154]",>=7,2,male single,unknown,4,no known property,42,bank,unknown,1,skilled,2,yes,NO,1994,10,GOOD
Other,Arizona,5,18.0,existing paid,1924.0,"(-0.001, 7.154]",1<=X<4,1,male single,none,4,life insurance,38,none,own,1,skilled,1,yes,NO,1994,10,BAD
Alameda,California,5,36.0,existing paid,5848.0,"(-0.001, 7.154]",1<=X<4,4,male single,none,1,car,24,none,own,1,skilled,1,unknown,NO,1994,10,BAD
